image,tier,backend,execution_providers,simulated,tp,fp,fn,vru_in_gt,vru_in_pred,n_preds,n_gt,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source
006579.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,6,0,True,True,7,1,60.0,0.12475109100341797,68.0,2010.0,nvml
006580.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,37,1,60.0,0.12475109100341797,68.0,2002.0,nvml
006581.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,28,4,60.0,0.12475109100341797,68.0,2040.0,nvml
006582.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,4,0,False,True,7,2,60.0,0.12475109100341797,68.0,2055.0,nvml
006583.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,12,124,6,True,True,146,20,60.0,0.12475109100341797,68.0,1980.0,nvml
006584.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,9,1,52.0,0.12475109100341797,68.0,1965.0,nvml
006585.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,66,0,True,True,70,1,52.0,0.12475109100341797,68.0,2017.0,nvml
006586.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,19,5,52.0,0.12475109100341797,68.0,2017.0,nvml
006587.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,60,9,52.0,0.12475109100341797,68.0,2047.0,nvml
006588.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,61,8,52.0,0.12475109100341797,68.0,2055.0,nvml
006589.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,1,9,1,True,True,120,20,59.0,0.12475109100341797,68.0,1965.0,nvml
006590.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,39,6,59.0,0.12475109100341797,68.0,2017.0,nvml
006591.png,MEDIUM,onnx_cuda,"['CUDAExecutionProvider', 'CPUExecutionProvider']",False,0,0,0,False,False,17,3,59.0,0.12475109100341797,68.0,2017.0,nvml
