run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
190,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,34.08,0.3868,36.5,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.006,31.977,1.09,0.997,34.256,onnx,CPUExecutionProvider,{},False,22,True,006499.png,,,,0.358383,0.43217,0.505957,12.616,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
191,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,34.607,0.3868,36.5,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.027,32.201,1.107,1.283,34.811,onnx,CPUExecutionProvider,{},False,13,False,006593.png,,,,0.364192,0.439174,0.514157,12.616,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
192,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,35.062,0.3868,36.5,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.009,32.732,1.659,0.652,35.221,onnx,CPUExecutionProvider,{},False,0,False,006986.png,,,,0.368485,0.444352,0.520219,12.616,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
193,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,32.832,0.4228,42.5,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.01,30.612,1.514,0.677,32.992,onnx,CPUExecutionProvider,{},False,19,True,006957.png,,,,0.374855,0.455817,0.53678,13.816,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
194,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,34.758,0.4228,42.5,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.006,32.632,1.366,0.741,34.891,onnx,CPUExecutionProvider,{},False,2,False,007252.png,,,,0.396428,0.48205,0.567672,13.816,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
195,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,34.408,0.4186,41.8,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.011,31.888,1.432,1.054,34.569,onnx,CPUExecutionProvider,{},False,28,False,006271.png,,,,0.389144,0.472767,0.55639,13.676,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
196,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,36.895,0.4186,41.8,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.024,34.799,1.219,0.86,37.176,onnx,CPUExecutionProvider,{},False,10,True,007122.png,,,,0.418488,0.508416,0.598345,13.676,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
197,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,33.995,0.3772,34.9,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.008,31.869,1.202,0.906,34.139,onnx,CPUExecutionProvider,{},False,55,True,006980.png,,,,0.348967,0.419771,0.490575,12.296,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
198,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,34.723,0.3772,34.9,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.007,32.656,1.262,0.786,34.855,onnx,CPUExecutionProvider,{},False,28,False,006301.png,,,,0.356285,0.428573,0.500862,12.296,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
199,5,predictive,idle,0.0,process_steady_v3,0,,SMALL,39.869,0.3772,34.9,65.8,,0.0,0.03271484375,58.0,210.0,nvml,0.022,37.641,1.436,0.771,40.043,onnx,CPUExecutionProvider,{},False,0,False,006823.png,,,,0.409314,0.492363,0.575411,12.296,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
