run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
45,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,15.265,0.754,98.0,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.129,13.645,1.001,0.597,15.514,onnx,CPUExecutionProvider,{},False,28,False,007151.png,,,,0.305255,0.386322,0.434384,24.902,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
46,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,18.027,0.754,98.0,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.149,16.413,1.026,0.566,18.338,onnx,CPUExecutionProvider,{},False,1,False,006946.png,,,,0.36083,0.456655,0.513467,24.902,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
47,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,12.922,0.754,98.0,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.103,11.753,0.755,0.392,13.139,onnx,CPUExecutionProvider,{},False,0,False,006617.png,,,,0.258537,0.327197,0.367903,24.902,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
48,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.595,0.754,98.0,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.144,9.467,1.519,0.591,11.859,onnx,CPUExecutionProvider,{},False,9,True,006434.png,,,,0.233338,0.295305,0.332044,24.902,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
49,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,10.707,0.766,100.0,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.174,9.109,1.079,0.496,11.112,onnx,CPUExecutionProvider,{},False,7,False,007063.png,,,,0.221981,0.281158,0.311139,25.302,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
50,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,10.676,0.766,100.0,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.149,9.195,1.041,0.421,10.937,onnx,CPUExecutionProvider,{},False,5,False,006080.png,,,,0.218489,0.276736,0.306244,25.302,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
51,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,14.361,0.766,100.0,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.194,12.968,0.919,0.444,14.679,onnx,CPUExecutionProvider,{},False,0,False,006280.png,,,,0.293227,0.371398,0.411001,25.302,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
52,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,10.982,0.766,100.0,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.145,9.197,1.251,0.516,11.252,onnx,CPUExecutionProvider,{},False,15,False,006829.png,,,,0.224766,0.284685,0.315042,25.302,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
53,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,10.692,0.7528,97.8,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.155,9.146,0.994,0.532,10.996,onnx,CPUExecutionProvider,{},False,6,True,006122.png,,,,0.216043,0.273395,0.307902,24.862,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
54,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,13.096,0.7528,97.8,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.151,11.37,1.189,0.516,13.374,onnx,CPUExecutionProvider,{},False,16,True,007161.png,,,,0.262754,0.332507,0.374475,24.862,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
55,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.614,0.7528,97.8,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.168,10.02,1.138,0.434,11.89,onnx,CPUExecutionProvider,{},False,2,False,006363.png,,,,0.233607,0.295622,0.332934,24.862,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
56,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,14.18,0.7528,97.8,65.1,,0.0,0.03271484375,52.0,210.0,nvml,0.123,12.79,0.969,0.404,14.425,onnx,CPUExecutionProvider,{},False,2,False,007405.png,,,,0.283395,0.358627,0.403892,24.862,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
57,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.954,0.7655,100.0,64.9,,0.0,0.03271484375,52.0,210.0,nvml,0.161,10.462,1.083,0.39,12.238,onnx,CPUExecutionProvider,{},False,0,False,007158.png,,,,0.244432,0.309592,0.342658,25.298,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
58,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,11.556,0.7655,100.0,64.9,,0.0,0.03271484375,52.0,210.0,nvml,0.173,9.871,1.03,0.633,11.834,onnx,CPUExecutionProvider,{},False,34,False,007200.png,,,,0.236366,0.299377,0.331352,25.298,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
59,0,adaptive,heavy,0.75,process_steady_v3,15,,NANO,12.178,0.7655,100.0,64.9,,0.0,0.03271484375,52.0,210.0,nvml,0.159,10.539,1.236,0.384,12.461,onnx,CPUExecutionProvider,{},False,0,False,006533.png,,,,0.248882,0.315228,0.348897,25.298,"DESKTOP-AMITH-RAMS — High performance, plugged in","Intel Core i7-11800H specifications; approved Windows High performance mode, plugged in; 2026-08-20",False
