status,simulated,backend,dataset,tier,image,n_gt,n_predictions,tp50,vru_tp,vru_gt,person_tp,person_gt,cyclist_tp,cyclist_gt
passed,False,tensorrt,kitti,MEDIUM,006457.png,6,5,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006458.png,1,9,1,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006459.png,3,6,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006460.png,3,6,1,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006461.png,5,5,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006462.png,3,7,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006463.png,5,9,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006464.png,2,4,0,0,2,0,1,0,1
passed,False,tensorrt,kitti,MEDIUM,006465.png,4,2,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006466.png,1,2,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006467.png,8,9,6,2,3,2,3,0,0
passed,False,tensorrt,kitti,MEDIUM,006468.png,8,11,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006469.png,6,8,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006470.png,5,9,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006471.png,1,6,1,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006472.png,1,9,1,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006473.png,3,6,2,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006474.png,8,20,6,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006475.png,12,19,4,4,11,4,10,0,1
passed,False,tensorrt,kitti,MEDIUM,006476.png,4,3,3,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006477.png,4,4,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006478.png,6,14,4,3,4,3,4,0,0
passed,False,tensorrt,kitti,MEDIUM,006479.png,3,6,1,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006480.png,1,12,1,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006481.png,3,3,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006482.png,4,7,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006483.png,5,8,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006484.png,3,5,2,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006485.png,1,1,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006486.png,2,15,2,2,2,2,2,0,0
passed,False,tensorrt,kitti,MEDIUM,006487.png,3,6,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006488.png,10,17,8,7,9,7,9,0,0
passed,False,tensorrt,kitti,MEDIUM,006489.png,12,15,9,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006490.png,7,7,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006491.png,3,10,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006492.png,5,7,3,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006493.png,6,6,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006494.png,7,7,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006495.png,6,5,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006496.png,10,13,6,4,7,3,5,1,2
passed,False,tensorrt,kitti,MEDIUM,006497.png,11,13,8,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006498.png,8,9,7,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006499.png,2,9,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006500.png,5,5,4,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006501.png,4,5,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006502.png,1,6,1,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006503.png,5,6,4,0,1,0,0,0,1
passed,False,tensorrt,kitti,MEDIUM,006504.png,4,6,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006505.png,2,2,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006506.png,5,6,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006507.png,4,6,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006508.png,7,9,7,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006509.png,4,5,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006510.png,1,4,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006511.png,8,11,6,2,4,2,4,0,0
passed,False,tensorrt,kitti,MEDIUM,006512.png,3,6,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006513.png,6,10,5,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006514.png,4,5,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006515.png,4,5,4,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006516.png,2,4,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006517.png,2,3,1,1,2,1,1,0,1
passed,False,tensorrt,kitti,MEDIUM,006518.png,2,2,2,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006519.png,11,14,6,0,3,0,3,0,0
passed,False,tensorrt,kitti,MEDIUM,006520.png,8,10,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006521.png,1,2,1,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006522.png,6,6,3,1,2,1,2,0,0
passed,False,tensorrt,kitti,MEDIUM,006523.png,12,12,6,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006524.png,4,5,3,0,0,0,0,0,0
passed,False,tensorrt,kitti,MEDIUM,006525.png,7,8,5,1,1,1,1,0,0
passed,False,tensorrt,kitti,MEDIUM,006526.png,6,7,6,0,0,0,0,0,0
