run_idx,device,backend,policy,load_profile,load_intensity,tier,latency_ms,wall_ms,pressure,cpu_pct,mem_pct,cpu_temp,n_detections,vru_detected,frame,simulated
85,windows-host,onnx,threshold,light,0.25,NANO,19.936,20.525,0.8555,97.8,48.8,,20,False,006066.png,False
86,windows-host,onnx,threshold,light,0.25,NANO,22.813,23.523,0.8555,97.8,48.8,,0,False,006067.png,False
87,windows-host,onnx,threshold,light,0.25,NANO,19.229,19.938,0.7115,78.6,48.8,,20,False,006068.png,False
88,windows-host,onnx,threshold,light,0.25,NANO,18.176,18.746,0.7115,78.6,48.8,,0,False,006069.png,False
89,windows-host,onnx,threshold,light,0.25,NANO,16.585,17.199,0.7115,78.6,48.8,,0,False,006070.png,False
90,windows-host,onnx,threshold,light,0.25,NANO,20.916,21.7,0.638,68.8,48.8,,1,False,006071.png,False
91,windows-host,onnx,threshold,light,0.25,NANO,26.0,26.884,0.638,68.8,48.8,,0,False,006072.png,False
92,windows-host,onnx,threshold,light,0.25,NANO,27.956,28.815,0.638,68.8,48.8,,4,True,006073.png,False
93,windows-host,onnx,threshold,light,0.25,NANO,37.064,39.318,0.7935,89.5,48.9,,0,False,006074.png,False
94,windows-host,onnx,threshold,light,0.25,NANO,27.102,28.063,0.7935,89.5,48.9,,8,False,006075.png,False
95,windows-host,onnx,threshold,light,0.25,NANO,28.168,30.149,0.8722,100.0,48.9,,12,False,006076.png,False
96,windows-host,onnx,threshold,light,0.25,NANO,26.779,27.947,0.8722,100.0,48.9,,62,False,006077.png,False
97,windows-host,onnx,threshold,light,0.25,NANO,29.425,30.24,0.8725,100.0,49.0,,24,False,006078.png,False
98,windows-host,onnx,threshold,light,0.25,NANO,29.579,30.431,0.8725,100.0,49.0,,2,True,006079.png,False
99,windows-host,onnx,threshold,light,0.25,NANO,27.102,27.901,0.8725,100.0,49.0,,2,True,006080.png,False
0,windows-host,onnx,threshold,moderate,0.5,SMALL,148.889,150.929,0.7187,79.6,48.7,,14,True,005981.png,False
1,windows-host,onnx,threshold,moderate,0.5,SMALL,171.121,174.596,0.872,100.0,48.8,,23,False,005982.png,False
2,windows-host,onnx,threshold,moderate,0.5,NANO,127.328,128.558,0.872,100.0,48.8,,17,False,005983.png,False
3,windows-host,onnx,threshold,moderate,0.5,NANO,48.07,48.864,0.8722,100.0,48.9,,0,False,005984.png,False
4,windows-host,onnx,threshold,moderate,0.5,NANO,44.399,45.109,0.8725,100.0,49.0,,0,False,005985.png,False
5,windows-host,onnx,threshold,moderate,0.5,NANO,29.863,33.378,0.8725,100.0,49.0,,8,False,005986.png,False
6,windows-host,onnx,threshold,moderate,0.5,NANO,45.849,46.594,0.8728,100.0,49.1,,10,False,005987.png,False
7,windows-host,onnx,threshold,moderate,0.5,NANO,56.239,58.207,0.8728,100.0,49.1,,0,False,005988.png,False
8,windows-host,onnx,threshold,moderate,0.5,NANO,36.682,37.445,0.8728,100.0,49.1,,0,False,005989.png,False
9,windows-host,onnx,threshold,moderate,0.5,NANO,29.378,30.282,0.8728,100.0,49.1,,2,False,005990.png,False
10,windows-host,onnx,threshold,moderate,0.5,NANO,60.747,63.384,0.8728,100.0,49.1,,0,False,005991.png,False
11,windows-host,onnx,threshold,moderate,0.5,NANO,58.697,59.633,0.8738,100.0,49.5,,13,True,005992.png,False
12,windows-host,onnx,threshold,moderate,0.5,NANO,41.9,42.538,0.8742,100.0,49.7,,0,False,005993.png,False
13,windows-host,onnx,threshold,moderate,0.5,NANO,489.36,490.551,0.8745,100.0,49.8,,8,False,005994.png,False
14,windows-host,onnx,threshold,moderate,0.5,NANO,67.18,68.036,0.8745,100.0,49.8,,2,True,005995.png,False
15,windows-host,onnx,threshold,moderate,0.5,NANO,164.049,165.56,0.8745,100.0,49.8,,40,False,005996.png,False
16,windows-host,onnx,threshold,moderate,0.5,NANO,24.814,26.305,0.8748,100.0,49.9,,1,True,005997.png,False
17,windows-host,onnx,threshold,moderate,0.5,NANO,60.25,61.131,0.8748,100.0,49.9,,3,False,005998.png,False
18,windows-host,onnx,threshold,moderate,0.5,NANO,47.088,47.973,0.875,100.0,50.0,,16,False,005999.png,False
19,windows-host,onnx,threshold,moderate,0.5,NANO,39.02,39.891,0.875,100.0,50.0,,0,False,006000.png,False
20,windows-host,onnx,threshold,moderate,0.5,NANO,46.634,47.578,0.875,100.0,50.0,,0,False,006001.png,False
21,windows-host,onnx,threshold,moderate,0.5,NANO,91.668,92.396,0.875,100.0,50.0,,0,False,006002.png,False
22,windows-host,onnx,threshold,moderate,0.5,NANO,76.1,77.921,0.875,100.0,50.0,,17,False,006003.png,False
23,windows-host,onnx,threshold,moderate,0.5,NANO,212.68,214.124,0.875,100.0,50.0,,11,False,006004.png,False
24,windows-host,onnx,threshold,moderate,0.5,NANO,65.005,66.114,0.8745,100.0,49.8,,25,False,006005.png,False
25,windows-host,onnx,threshold,moderate,0.5,NANO,32.206,32.953,0.8745,100.0,49.8,,0,False,006006.png,False
26,windows-host,onnx,threshold,moderate,0.5,NANO,39.731,40.947,0.8745,100.0,49.8,,7,False,006007.png,False
27,windows-host,onnx,threshold,moderate,0.5,NANO,29.925,31.126,0.8745,100.0,49.8,,14,False,006008.png,False
28,windows-host,onnx,threshold,moderate,0.5,NANO,45.786,49.028,0.8745,100.0,49.8,,10,False,006009.png,False
29,windows-host,onnx,threshold,moderate,0.5,NANO,30.46,31.128,0.8745,100.0,49.8,,1,False,006010.png,False
30,windows-host,onnx,threshold,moderate,0.5,NANO,27.025,27.979,0.8748,100.0,49.9,,38,False,006011.png,False
31,windows-host,onnx,threshold,moderate,0.5,NANO,28.475,29.258,0.8748,100.0,49.9,,8,False,006012.png,False
32,windows-host,onnx,threshold,moderate,0.5,NANO,32.18,33.118,0.8748,100.0,49.9,,20,True,006013.png,False
33,windows-host,onnx,threshold,moderate,0.5,NANO,72.651,74.002,0.8748,100.0,49.9,,19,False,006014.png,False
