run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
117,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,126.844,0.6268,58.3,75.8,,,,,,none,0.003,125.28,0.81,0.747,126.857,onnx,CPUExecutionProvider,{},False,12,False,006289.png,,,,1.761027,2.178894,2.59676,17.176,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
118,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,127.615,0.1895,0.0,75.8,,,,,,none,0.003,126.109,0.743,0.755,127.628,onnx,CPUExecutionProvider,{},False,10,False,006739.png,,,,0.655623,0.703994,0.752364,5.516,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
119,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,129.966,0.585,52.7,75.9,,,,,,none,0.004,128.198,0.776,0.984,129.984,onnx,CPUExecutionProvider,{},False,54,False,007273.png,,,,1.69544,2.087276,2.479111,16.058,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
120,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,125.126,0.5932,53.8,75.9,,,,,,none,0.004,123.306,0.779,1.033,125.147,onnx,CPUExecutionProvider,{},False,38,False,007028.png,,,,1.653,2.037137,2.421275,16.278,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
121,9,safety2,idle,0.0,thread_steady_v1,0,,SMALL,25.352,0.5393,46.6,75.9,,,,,,none,0.085,24.547,0.376,0.422,25.449,onnx,CPUExecutionProvider,{},False,37,True,006613.png,,,,0.308659,0.377613,0.446568,14.838,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
122,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,128.422,0.5393,46.6,75.9,,,,,,none,0.084,126.824,0.818,0.775,128.516,onnx,CPUExecutionProvider,{},False,21,False,006975.png,,,,1.558711,1.906927,2.255142,14.838,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
123,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,126.656,0.5573,49.0,75.9,,,,,,none,0.003,125.124,0.755,0.771,126.67,onnx,CPUExecutionProvider,{},False,19,False,006586.png,,,,1.581918,1.94033,2.298743,15.318,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
124,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,127.362,0.1898,0.0,75.9,,,,,,none,0.003,125.82,0.76,0.774,127.374,onnx,CPUExecutionProvider,{},False,1,False,006744.png,,,,0.654509,0.702847,0.751185,5.518,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
125,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,132.101,0.1898,0.0,75.9,,,,,,none,0.004,130.553,0.68,0.862,132.114,onnx,CPUExecutionProvider,{},False,33,False,007432.png,,,,0.67887,0.729008,0.779145,5.518,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
126,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,127.509,0.1898,0.0,75.9,,,,,,none,0.003,125.8,0.779,0.923,127.524,onnx,CPUExecutionProvider,{},False,84,False,006300.png,,,,0.65528,0.703676,0.752071,5.518,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
127,9,safety2,idle,0.0,thread_steady_v1,0,,MEDIUM,128.055,0.5513,48.2,75.9,,,,,,none,0.004,126.432,0.724,0.892,128.069,onnx,CPUExecutionProvider,{},False,70,False,006356.png,,,,1.584016,1.941264,2.298511,15.158,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
