21:49:52  INFO     [RAMS] Starting resource monitor ...
21:49:52  INFO     [RAMS] Loading model tiers ...
[0;93m2026-09-08 21:49:53.006609326 [W:onnxruntime:Default, device_discovery.cc:164 DiscoverDevicesForPlatform] GPU device discovery failed: device_discovery.cc:89 ReadFileContents Failed to open file: "/sys/class/drm/card0/device/vendor"[m
22:02:35  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.613)
22:02:36  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.615)
[safety2, conf=0.25] 1500/1500
22:02:36  INFO     [RAMS] Controller stopped.
22:02:36  INFO     [RAMS] Starting resource monitor ...
22:02:36  INFO     [RAMS] Loading model tiers ...
22:02:36  INFO     [RAMS] YOLOv8-nano ready — ONNX (imgsz=320).
22:02:36  INFO     [RAMS] YOLOv8-small ready — ONNX (imgsz=416).
22:02:37  INFO     [RAMS] YOLOv8-medium ready — ONNX (imgsz=640).
22:02:37  INFO     [RAMS] Controller ready. Policy: safety2
22:02:39  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.636)
22:02:42  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.710)
22:02:42  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.720)
22:02:45  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.688)
22:02:45  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.663)
22:02:46  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.704)
22:02:46  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.589)
22:02:47  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.673)
22:02:49  INFO     [RAMS] Tier switch: MEDIUM → SMALL  (R=0.628)
22:02:50  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.608)
22:02:50  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.627)
22:02:51  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.587)
22:02:51  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.673)
22:02:52  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.636)
22:02:53  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.595)
22:02:53  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.618)
22:02:53  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.601)
22:02:54  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.621)
22:02:57  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.627)
22:02:57  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.597)
22:02:57  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.636)
22:02:57  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.599)
22:02:58  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.614)
22:02:58  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.629)
22:02:59  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.629)
[safety2, conf=0.40] 100/1500
22:03:00  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.608)
22:03:01  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.599)
22:03:03  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.669)
22:03:03  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.636)
22:03:06  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.680)
22:03:06  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.655)
22:03:09  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.625)
22:03:10  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.631)
22:03:12  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
22:03:12  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.593)
22:03:13  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.599)
22:03:15  INFO     [RAMS] Tier switch: MEDIUM → SMALL  (R=0.678)
22:03:16  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.674)
22:03:17  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
22:03:17  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.602)
22:03:18  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.636)
22:03:18  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.604)
22:03:18  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.599)
22:03:21  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.620)
22:03:21  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.589)
22:03:23  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.638)
22:03:23  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.597)
22:03:24  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.726)
22:03:24  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.656)
22:03:27  INFO     [RAMS] Tier switch: MEDIUM → SMALL  (R=0.733)
[safety2, conf=0.40] 200/1500
22:03:27  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.667)
22:03:28  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.687)
22:03:28  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.674)
22:03:28  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.645)
22:03:31  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.649)
22:03:31  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.601)
22:03:33  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.625)
22:03:34  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.599)
22:03:34  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.685)
22:03:35  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.614)
22:03:35  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.590)
22:03:38  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.626)
22:03:38  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.601)
22:03:39  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.629)
22:03:39  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.583)
22:03:41  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.627)
22:03:41  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.619)
22:03:43  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
22:03:44  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.606)
[safety2, conf=0.40] 300/1500
22:03:45  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.625)
22:03:46  INFO     [RAMS] Tier switch: MEDIUM → SMALL  (R=0.721)
22:03:46  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.673)
22:03:46  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.649)
22:03:47  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.682)
22:03:48  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.733)
22:03:48  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.733)
22:03:49  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.679)
22:03:49  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.631)
22:03:52  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.690)
22:03:52  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.599)
22:03:53  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.615)
22:03:53  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.599)
22:03:54  INFO     [RAMS] Tier switch: SMALL → MEDIUM  (R=0.625)
22:03:54  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.631)
22:03:55  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.589)
22:03:56  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.635)
22:03:56  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.655)
22:03:58  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.636)
22:03:58  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.595)
22:03:59  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.609)
[safety2, conf=0.40] 400/1500
22:04:00  INFO     [RAMS] Tier switch: NANO → SMALL  (R=0.597)
22:04:01  INFO     [RAMS] Tier switch: SMALL → NANO  (R=0.623)
22:04:01  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.598)
22:04:03  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.625)
22:04:03  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.608)
22:04:06  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.629)
22:04:06  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.592)
22:04:08  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.666)
22:04:09  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.660)
22:04:11  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.683)
22:04:12  INFO     [RAMS] Tier switch: NANO → MEDIUM  (R=0.649)
22:04:14  INFO     [RAMS] Tier switch: MEDIUM → NANO  (R=0.639)
