run_idx,block,policy,load_profile,load_intensity,load_injector,load_worker_processes,burst_cycle_frame,tier,latency_ms,pressure,cpu_pct,mem_pct,cpu_temp,gpu_util_pct,gpu_mem_frac,gpu_temp,gpu_clock_mhz,accelerator_source,policy_ms,inference_ms,preprocess_ms,postprocess_ms,end_to_end_ms,backend,execution_providers,coreml_provider_options,simulated,n_detections,vru_detected,frame,tdp_energy_estimate_j,tdp_watts,tdp_label,energy_profile_estimate_low_j,energy_profile_estimate_j,energy_profile_estimate_high_j,energy_profile_power_w,energy_profile_name,energy_profile_source,energy_profile_is_measured
36,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.315,0.5905,52.0,80.2,,,,,,none,0.043,17.585,0.373,0.354,18.366,onnx,CPUExecutionProvider,{},False,0,False,006282.png,,,,0.238811,0.293927,0.349043,16.004,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
37,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.125,0.5905,52.0,80.2,,,,,,none,0.035,17.36,0.274,0.487,18.166,onnx,CPUExecutionProvider,{},False,71,False,006034.png,,,,0.236214,0.29073,0.345246,16.004,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
38,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.237,0.5905,52.0,80.2,,,,,,none,0.048,17.539,0.302,0.391,18.292,onnx,CPUExecutionProvider,{},False,49,True,006519.png,,,,0.237853,0.292747,0.347642,16.004,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
39,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.021,0.2005,0.0,80.2,,,,,,none,0.04,17.411,0.267,0.34,18.068,onnx,CPUExecutionProvider,{},False,11,False,007441.png,,,,0.094006,0.101251,0.108496,5.604,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
40,0,adaptive,heavy,0.75,thread_steady_v1,3,,MEDIUM,101.223,0.2005,0.0,80.2,,,,,,none,0.107,99.884,0.611,0.724,101.336,onnx,CPUExecutionProvider,{},False,59,False,006438.png,,,,0.527253,0.567889,0.608525,5.604,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
41,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.605,0.604,53.8,80.2,,,,,,none,0.132,17.992,0.337,0.272,18.745,onnx,CPUExecutionProvider,{},False,0,False,007456.png,,,,0.248807,0.306749,0.364691,16.364,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
42,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.397,0.604,53.8,80.2,,,,,,none,0.04,17.644,0.297,0.453,18.446,onnx,CPUExecutionProvider,{},False,44,False,006904.png,,,,0.244835,0.301852,0.358869,16.364,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
43,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,17.984,0.604,53.8,80.2,,,,,,none,0.035,17.296,0.298,0.385,18.026,onnx,CPUExecutionProvider,{},False,13,False,007445.png,,,,0.239259,0.294977,0.350696,16.364,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
44,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.021,0.5935,52.4,80.2,,,,,,none,0.037,17.23,0.297,0.491,18.065,onnx,CPUExecutionProvider,{},False,69,False,006746.png,,,,0.235989,0.290564,0.34514,16.084,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
45,0,adaptive,heavy,0.75,thread_steady_v1,3,,SMALL,18.128,0.5935,52.4,80.2,,,,,,none,0.04,17.355,0.31,0.458,18.175,onnx,CPUExecutionProvider,{},False,80,False,007151.png,,,,0.237423,0.292331,0.347238,16.084,"MacBook Air M-series, plugged in, Low Power Mode off","Apple datasheet + measured idle telemetry, plugged in, 2026-08-03",False
