image,policy,policy_label,load_profile,tier,latency_ms,pressure,load_injector,load_worker_processes,backend,execution_providers,coreml_provider_options,vru_tp,vru_fp,vru_fn,obstacle_tp,obstacle_fp,obstacle_fn,frame_sha256
006800.png,threshold,Threshold,moderate,NANO,48.505,0.6403,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},2,2,1,1,0,1,4c6ff2249729c33268260f4a17108cf27bec78e261f3ade2b9455be9d7176bc7
007005.png,threshold,Threshold,moderate,NANO,40.003,0.6403,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,5,1,4,aeae800a16c9a366c4617cdb90c91bbcc53e698e9eb42992ca5ecf73c24c2136
006322.png,threshold,Threshold,moderate,NANO,33.019,0.6487,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,2,5,6,67af157118b32dc219b3c3bedbd857b4c52e9eb58ebe36d9367f390ae76e3a5b
006520.png,threshold,Threshold,moderate,NANO,43.934,0.6487,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,6,0,2,6867828c754dfdf4e38c12791a5cd85e8089b8fde8b5547fee4c9c8e8fc6db5d
006094.png,threshold,Threshold,moderate,NANO,35.19,0.6509,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,2,1,0,0,27c55ee304685a900b0a1a24fe80d3389fe6c35fd0f2e99bf201308622719981
006643.png,threshold,Threshold,moderate,NANO,37.669,0.6726,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,3,f56ba4e70b12bd2ee2416b3dc5ec88c2db790b72dde7c7529d9ac927e1c858d3
007410.png,threshold,Threshold,moderate,NANO,57.405,0.6726,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,1,3,1,0,1,70787990bb031b85153885ecdf93de122ae220f6e03f4d93b0a8032e08f671f3
006074.png,threshold,Threshold,moderate,NANO,46.612,0.6333,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,2,0,2,cccce66b73af358daafcdd96c0fa30be756b56e7ca2524ed50fc141f11fb1a11
006162.png,threshold,Threshold,moderate,NANO,44.541,0.6333,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,4,21d25dce8ffaf62edae941be78c17bb33f91981dbfe51af3be0023f2cb4e2f6c
006123.png,threshold,Threshold,moderate,NANO,35.592,0.6424,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,1,1,5,a7e41112b104c7c7b4023bb004d7df3e5909881650f72976ac80828b00aa481d
007136.png,threshold,Threshold,moderate,NANO,60.814,0.6424,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},1,5,1,1,0,1,c579e539b89e232fbbad408971a50d42502be77a677e7ccc45eabd2f74cde480
006311.png,threshold,Threshold,moderate,NANO,38.214,0.6672,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,0,2e945b2ebd7530e03ef52a1ffd8d5a8ae1999178607d75202b7894eeee701e38
006423.png,threshold,Threshold,moderate,NANO,64.475,0.7197,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,4,1,5,f478e54fc52cd58a444ed294c9769494d87f0abefcda148e7bfbe01d29361378
006165.png,threshold,Threshold,moderate,NANO,48.404,0.7197,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,3,f04bf89b3bc571cc515ceeb74f57abac789786b1262eddefa783802c7b8662ba
007325.png,threshold,Threshold,moderate,NANO,38.773,0.6784,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,9,2,1,3d65a96d628fd339eb4756ea4caf25048ef1e8a8516e9926afc1b4ee86075ff4
006639.png,threshold,Threshold,moderate,NANO,39.763,0.6553,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,1,1,7,1,6,46df69edc0b0be1ed7c83435b55e0829a490db17e6b393871df283f6ea1e6cc3
006552.png,threshold,Threshold,moderate,NANO,38.404,0.6553,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},4,0,0,0,0,0,eaf7b27e66c2f41b31f7c03a2a4cc79973eaf40abdf0de6b6ca04c6398a0e00a
007424.png,threshold,Threshold,moderate,NANO,45.482,0.6483,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,8,3,3,4342b3085b6a736355fa3dae70c21eeaf1471a41db738cc8e14dec414f38f7b9
007312.png,threshold,Threshold,moderate,NANO,36.631,0.6483,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,3,2,0,4ffdfd292aa85f8b693eba3762d138dc2256086f9704c2ff8d5375fba9ce9496
007135.png,threshold,Threshold,moderate,NANO,36.033,0.6364,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,4,2,2,1857e6b6e8cd9f83a49e3fe0c82450902b7f3137091e559db0636de7d3d455cc
006394.png,threshold,Threshold,moderate,NANO,37.544,0.6364,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,3,3,4,6f3b7b2c329547ef2c70edb430af02a6c8e757114fdc5c8e32fd64a0cd786a83
006542.png,threshold,Threshold,moderate,NANO,45.182,0.664,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,1,5,b51dd238362548e55d23e7da4033345a3c833f084e92677f7419c777cb3709ba
006027.png,threshold,Threshold,moderate,NANO,64.766,0.664,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,2,5,2,1,c7ae6f03333654cc45a0b5f9f25449d942d2810963520cac80bbb82d4ff6c297
006537.png,threshold,Threshold,moderate,NANO,43.65,0.6618,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,1,0,1,cf5c5ea91f79345dbdd4bfd97659f5d8132dbb030d6fe6a4e89eeb28d5d6975f
006595.png,threshold,Threshold,moderate,NANO,51.728,0.7088,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,5,1,4,6ee53c58d41c7288600536a375167db30b54eb8b9a3ac02275df5cb8ecea0fb6
007393.png,threshold,Threshold,moderate,NANO,43.858,0.7088,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,1,9,3,4,7a1d5f98b1891bd4068fb3c6f204c6803ca21ae309a7b1e4474a8d0989757c1f
006304.png,threshold,Threshold,moderate,NANO,37.072,0.6507,process_steady_v3,11,onnx,['CPUExecutionProvider'],{},0,0,0,0,0,2,31d254d3705e9ef663d0964d18ca5df85cd3927bf2f85ca60974be342b1c4f2f
